Subject,Method,Tissue Type,RMSE
335852,s1_2,WM,0.30677485173737135
335852,s1_3,WM,0.2796949677416763
335852,both,WM,0.2620526192299328
335852,lut,WM,0.2662603497375387
335852,s1_2,GM,0.36064262195115937
335852,s1_3,GM,0.48898311863039423
335852,both,GM,0.41559528198271906
335852,lut,GM,0.28994413833970156
335852,s1_2,Other,1.1146311283306958
335852,s1_3,Other,1.574038541730681
335852,both,Other,1.4820948711094488
335852,lut,Other,0.7851525794673552
335852,s1_2,All,0.539308549167645
335852,s1_3,All,0.7222903791729736
335852,both,All,0.6688735193904003
335852,lut,All,0.40360161125687743
335561,s1_2,WM,0.33049732361735057
335561,s1_3,WM,0.3056933529218162
335561,both,WM,0.28743579475320996
335561,lut,WM,0.2906414180102046
335561,s1_2,GM,0.41298235471330297
335561,s1_3,GM,0.5942799487593713
335561,both,GM,0.49878451069129043
335561,lut,GM,0.322027993703122
335561,s1_2,Other,1.250928937820266
335561,s1_3,Other,1.668623204761141
335561,both,Other,1.6035184196557317
335561,lut,Other,0.9739501289280148
335561,s1_2,All,0.7184517115723309
335561,s1_3,All,0.9466822485188736
335561,both,All,0.8941607414262984
335561,lut,All,0.5657999953137602
334408,s1_2,WM,0.7311017888505777
334408,s1_3,WM,0.7129275627103989
334408,both,WM,0.7102546116507016
334408,lut,WM,0.6706032865129756
334408,s1_2,GM,0.3856572104968772
334408,s1_3,GM,0.4883455738963005
334408,both,GM,0.4407071922184843
334408,lut,GM,0.3141978602560052
334408,s1_2,Other,1.3186636010044697
334408,s1_3,Other,1.629624634397973
334408,both,Other,1.5689316939042113
334408,lut,Other,1.047523688448727
334408,s1_2,All,0.7349019074370899
334408,s1_3,All,0.8202768145602538
334408,both,All,0.7941358924012704
334408,lut,All,0.6321395420106997
337021,s1_2,WM,0.25169810367052153
337021,s1_3,WM,0.22079668657141682
337021,both,WM,0.20053297971816464
337021,lut,WM,0.2125346936332417
337021,s1_2,GM,0.22235889846247422
337021,s1_3,GM,0.3614602013839884
337021,both,GM,0.2936144866936325
337021,lut,GM,0.1893680959525565
337021,s1_2,Other,0.7052916287640852
337021,s1_3,Other,1.1868848490073194
337021,both,Other,1.0216941483526727
337021,lut,Other,0.47118578829297025
337021,s1_2,All,0.2908017676532677
337021,s1_3,All,0.4118246267333201
337021,both,All,0.35090953254741697
337021,lut,All,0.22854701482009887
337204,s1_2,WM,0.4101969114656402
337204,s1_3,WM,0.3817725054579668
337204,both,WM,0.36557646737892774
337204,lut,WM,0.37497981778071365
337204,s1_2,GM,0.3818958128732714
337204,s1_3,GM,0.4513040218530104
337204,both,GM,0.38828248408535015
337204,lut,GM,0.33968504939406075
337204,s1_2,Other,0.8866016952834462
337204,s1_3,Other,1.350158827111653
337204,both,Other,1.1677960044058469
337204,lut,Other,0.6362550021188823
337204,s1_2,All,0.4815814348334142
337204,s1_3,All,0.6084304021225461
337204,both,All,0.5359409446519946
337204,lut,All,0.40129699689093695
335867,s1_2,WM,0.3540134516869781
335867,s1_3,WM,0.3334264241644192
335867,both,WM,0.31307605084878565
335867,lut,WM,0.31457306754655506
335867,s1_2,GM,0.3351854447475333
335867,s1_3,GM,0.42988638772735904
335867,both,GM,0.3636238121706602
335867,lut,GM,0.2893679800779339
335867,s1_2,Other,1.1138373442728269
335867,s1_3,Other,1.615255591068365
335867,both,Other,1.4119822423509107
335867,lut,Other,0.7411163344431498
335867,s1_2,All,0.4915366453913816
335867,s1_3,All,0.6445673256153687
335867,both,All,0.5654136636920382
335867,lut,All,0.376351181373666
336126,s1_2,WM,0.3192455171501318
336126,s1_3,WM,0.29364372947706757
336126,both,WM,0.27210204055942316
336126,lut,WM,0.27974810438059033
336126,s1_2,GM,0.2999073712526448
336126,s1_3,GM,0.43404712809690016
336126,both,GM,0.3632532443352895
336126,lut,GM,0.2546676807104866
336126,s1_2,Other,1.032324851371659
336126,s1_3,Other,1.4464935010858264
336126,both,Other,1.3067079236549546
336126,lut,Other,0.7269833484303552
336126,s1_2,All,0.4094412859499168
336126,s1_3,All,0.5298565344626672
336126,both,All,0.47004944509796415
336126,lut,All,0.32467953921783727
335749,s1_2,WM,0.3387564980884226
335749,s1_3,WM,0.3116315894386453
335749,both,WM,0.29275253083306785
335749,lut,WM,0.2993619137390917
335749,s1_2,GM,0.3452616972263061
335749,s1_3,GM,0.4801944882273313
335749,both,GM,0.3945639510780435
335749,lut,GM,0.28626712736628196
335749,s1_2,Other,1.2312529187135417
335749,s1_3,Other,1.727444852795453
335749,both,Other,1.5729614906206417
335749,lut,Other,0.8369650119086863
335749,s1_2,All,0.553065096177732
335749,s1_3,All,0.7388732379543226
335749,both,All,0.6626612725401516
335749,lut,All,0.4107157527931597
335508,s1_2,WM,0.315400283502275
335508,s1_3,WM,0.2939928714302135
335508,both,WM,0.27361289432329533
335508,lut,WM,0.27521960291281394
335508,s1_2,GM,0.35511091589370525
335508,s1_3,GM,0.4687545908019173
335508,both,GM,0.40323546585273795
335508,lut,GM,0.28262799768191255
335508,s1_2,Other,1.189391814501042
335508,s1_3,Other,1.652713048244203
335508,both,Other,1.5294497351923615
335508,lut,Other,0.7980267143736228
335508,s1_2,All,0.5040726048575809
335508,s1_3,All,0.6576888061376578
335508,both,All,0.5996144484099649
335508,lut,All,0.37218444228332587
334317,s1_2,WM,0.2553764258115537
334317,s1_3,WM,0.22393924323363992
334317,both,WM,0.20851644603915487
334317,lut,WM,0.2113909326135433
334317,s1_2,GM,0.41473248158556647
334317,s1_3,GM,0.5422154588708663
334317,both,GM,0.47416080577090475
334317,lut,GM,0.3513597290005495
334317,s1_2,Other,1.3239283654246392
334317,s1_3,Other,1.6726772696922423
334317,both,Other,1.632240430370834
334317,lut,Other,1.154746248842148
334317,s1_2,All,0.7254106440845108
334317,s1_3,All,0.9086301503523312
334317,both,All,0.8745913176430926
334317,lut,All,0.6290901599379003
335692,s1_2,WM,0.30828436823223276
335692,s1_3,WM,0.3027767111218927
335692,both,WM,0.275568236522217
335692,lut,WM,0.2658773267805994
335692,s1_2,GM,0.4085195158874983
335692,s1_3,GM,0.5322120711620564
335692,both,GM,0.4596925451277035
335692,lut,GM,0.31802817233094877
335692,s1_2,Other,1.1731898748270337
335692,s1_3,Other,1.5738146143749896
335692,both,Other,1.4797759544227223
335692,lut,Other,0.8605443238859731
335692,s1_2,All,0.6459937759058021
335692,s1_3,All,0.8453038281829987
335692,both,All,0.7837535774712995
335692,lut,All,0.48614937199563274
334424,s1_2,WM,0.23845078935621716
334424,s1_3,WM,0.2195848946596443
334424,both,WM,0.2019165929606866
334424,lut,WM,0.19936087238127526
334424,s1_2,GM,0.4221392666345967
334424,s1_3,GM,0.5470418775263903
334424,both,GM,0.4846996898886338
334424,lut,GM,0.32393805659562275
334424,s1_2,Other,1.3058296622099983
334424,s1_3,Other,1.671014536822657
334424,both,Other,1.5796350762564109
334424,lut,Other,0.9321558789215155
334424,s1_2,All,0.5580116413465941
334424,s1_3,All,0.7016140363310561
334424,both,All,0.6521913567342711
334424,lut,All,0.4117014772665984
335586,s1_2,WM,0.28231592675708894
335586,s1_3,WM,0.25715522623517356
335586,both,WM,0.2383482826344125
335586,lut,WM,0.2435136130149574
335586,s1_2,GM,0.3236264464701346
335586,s1_3,GM,0.4809212718186407
335586,both,GM,0.4010195700214541
335586,lut,GM,0.28037676890829677
335586,s1_2,Other,1.1240347667767823
335586,s1_3,Other,1.5470175116692622
335586,both,Other,1.442051381265254
335586,lut,Other,0.7549822124906139
335586,s1_2,All,0.49759153035221426
335586,s1_3,All,0.6645745525511392
335586,both,All,0.6063890275249277
335586,lut,All,0.36752013782939796
336672,s1_2,WM,0.2847911128989285
336672,s1_3,WM,0.2611582349024512
336672,both,WM,0.24044981387753211
336672,lut,WM,0.24360050702865413
336672,s1_2,GM,0.2957507290683938
336672,s1_3,GM,0.39372546150595483
336672,both,GM,0.3383021453393248
336672,lut,GM,0.2508631533592049
336672,s1_2,Other,0.9817709204154457
336672,s1_3,Other,1.45401846251614
336672,both,Other,1.2966840590363946
336672,lut,Other,0.689323366425322
336672,s1_2,All,0.4092651504629505
336672,s1_3,All,0.5480129567927812
336672,both,All,0.48640083342493906
336672,lut,All,0.3166997798435299
335450,s1_2,WM,0.35486212741906137
335450,s1_3,WM,0.33850664209532016
335450,both,WM,0.31733933390642466
335450,lut,WM,0.31596226127053884
