Subject,Method,Tissue Type,Noise Level,RMSE
335852,s1_2,WM,0.0005,0.28739895624146283
335852,s1_3,WM,0.0005,0.26848275563703194
335852,both,WM,0.0005,0.5424491817477006
335852,s1_2,GM,0.0005,0.3237414429684566
335852,s1_3,GM,0.0005,0.5220402868680183
335852,both,GM,0.0005,0.5993918652354377
335852,s1_2,Other,0.0005,0.8743924577426916
335852,s1_3,Other,0.0005,2.5960922338345336
335852,both,Other,0.0005,2.551295652606888
335852,s1_2,All,0.0005,0.44695280231474116
335852,s1_3,All,0.0005,1.10060913621056
335852,both,All,0.0005,1.144620512374191
335852,s1_2,WM,0.001,0.28739566835682956
335852,s1_3,WM,0.001,0.2688801141674706
335852,both,WM,0.001,0.34788093413104276
335852,s1_2,GM,0.001,0.3239768855168839
335852,s1_3,GM,0.001,0.5202168735808352
335852,both,GM,0.001,0.5383311179795991
335852,s1_2,Other,0.001,0.8930443199830301
335852,s1_3,Other,0.001,2.5097952302361706
335852,both,Other,0.001,2.261782942318427
335852,s1_2,All,0.001,0.4528598474625777
335852,s1_3,All,0.001,1.067912145463672
335852,both,All,0.001,0.9906873191792427
335852,s1_2,WM,0.005,0.30677485173737135
335852,s1_3,WM,0.005,0.2796949677416763
335852,both,WM,0.005,0.2620526192299328
335852,s1_2,GM,0.005,0.36064262195115937
335852,s1_3,GM,0.005,0.48898311863039423
335852,both,GM,0.005,0.41559528198271906
335852,s1_2,Other,0.005,1.1146311283306958
335852,s1_3,Other,0.005,1.574038541730681
335852,both,Other,0.005,1.4820948711094488
335852,s1_2,All,0.005,0.539308549167645
335852,s1_3,All,0.005,0.7222903791729736
335852,both,All,0.005,0.6688735193904003
335852,s1_2,WM,0.01,0.3695234503024765
335852,s1_3,WM,0.01,0.31716889005253357
335852,both,WM,0.01,0.33767458333716244
335852,s1_2,GM,0.01,0.42536751001345174
335852,s1_3,GM,0.01,0.45735594472861996
335852,both,GM,0.01,0.381061869774742
335852,s1_2,Other,0.01,0.8632432130601055
335852,s1_3,Other,0.01,1.5481486272406797
335852,both,Other,0.01,1.0166853226715593
335852,s1_2,All,0.01,0.5003944563200626
335852,s1_3,All,0.01,0.7126447978252068
335852,both,All,0.01,0.5220068560031876
335852,s1_2,WM,0.015,0.45688011764676967
335852,s1_3,WM,0.015,0.37718107736432577
335852,both,WM,0.015,0.4355741828078731
335852,s1_2,GM,0.015,0.48300286191206526
335852,s1_3,GM,0.015,0.4748885366014005
335852,both,GM,0.015,0.46836183009357246
335852,s1_2,Other,0.015,0.6936133248983997
335852,s1_3,Other,0.015,1.5552221713760823
335852,both,Other,0.015,0.6106781707568979
335852,s1_2,All,0.015,0.511326574886738
335852,s1_3,All,0.015,0.7326833676121549
335852,both,All,0.015,0.4797277333372643
335852,s1_2,WM,0.02,0.5750873457123752
335852,s1_3,WM,0.02,0.46258163948622494
335852,both,WM,0.02,0.5388174556698813
335852,s1_2,GM,0.02,0.5373139222701374
335852,s1_3,GM,0.02,0.5105708107016779
335852,both,GM,0.02,0.5630892475966278
335852,s1_2,Other,0.02,0.9656637735315563
335852,s1_3,Other,0.02,1.4349031353063857
335852,both,Other,0.02,0.49632508517866325
335852,s1_2,All,0.02,0.6409778290035287
335852,s1_3,All,0.02,0.7251979126268959
335852,both,All,0.02,0.541669799125787
335561,s1_2,WM,0.0005,0.3100784318185414
335561,s1_3,WM,0.0005,0.29877173264205265
335561,both,WM,0.0005,0.5043923657337139
335561,s1_2,GM,0.0005,0.3545147550049858
335561,s1_3,GM,0.0005,0.6242226369499972
335561,both,GM,0.0005,0.6546696717270977
335561,s1_2,Other,0.0005,1.0624427368382094
335561,s1_3,Other,0.0005,2.723540682036348
335561,both,Other,0.0005,2.676890810425069
335561,s1_2,All,0.0005,0.6164627561840196
335561,s1_3,All,0.0005,1.4612330735858623
335561,both,All,0.0005,1.4650196002705673
335561,s1_2,WM,0.001,0.31005150284247546
335561,s1_3,WM,0.001,0.2984853387481852
335561,both,WM,0.001,0.3554575832497017
335561,s1_2,GM,0.001,0.3549576821838114
335561,s1_3,GM,0.001,0.6254903521649784
335561,both,GM,0.001,0.6062286970939927
335561,s1_2,Other,0.001,1.0842391681680577
335561,s1_3,Other,0.001,2.6746743093354435
335561,both,Other,0.001,2.3658221039258964
335561,s1_2,All,0.001,0.6265218049645845
335561,s1_3,All,0.001,1.437277133421154
335561,both,All,0.001,1.2882183362953394
335561,s1_2,WM,0.005,0.33049732361735057
335561,s1_3,WM,0.005,0.3056933529218162
335561,both,WM,0.005,0.28743579475320996
335561,s1_2,GM,0.005,0.41298235471330297
335561,s1_3,GM,0.005,0.5942799487593713
335561,both,GM,0.005,0.49878451069129043
335561,s1_2,Other,0.005,1.250928937820266
335561,s1_3,Other,0.005,1.668623204761141
335561,both,Other,0.005,1.6035184196557317
335561,s1_2,All,0.005,0.7184517115723309
335561,s1_3,All,0.005,0.9466822485188736
335561,both,All,0.005,0.8941607414262984
335561,s1_2,WM,0.01,0.392468238676551
335561,s1_3,WM,0.01,0.33603604784600877
335561,both,WM,0.01,0.3618072604090616
335561,s1_2,GM,0.01,0.4898127072310508
335561,s1_3,GM,0.01,0.5606269790224524
335561,both,GM,0.01,0.43816802736540755
335561,s1_2,Other,0.01,0.9328719209128344
335561,s1_3,Other,0.01,1.6522638431664234
335561,both,Other,0.01,1.0978543251637747
335561,s1_2,All,0.01,0.6111285934165481
335561,s1_3,All,0.01,0.9359492985757498
335561,both,All,0.01,0.6608538239093296
335561,s1_2,WM,0.015,0.47548882142260235
335561,s1_3,WM,0.015,0.388887874051774
335561,both,WM,0.015,0.4645877686537749
335561,s1_2,GM,0.015,0.530847992166251
335561,s1_3,GM,0.015,0.5819674911191878
335561,both,GM,0.015,0.5034132244690535
335561,s1_2,Other,0.015,0.7305550644575362
335561,s1_3,Other,0.015,1.6586310258971864
335561,both,Other,0.015,0.6344537379853066
335561,s1_2,All,0.015,0.5716942460216139
335561,s1_3,All,0.015,0.9512851793939454
335561,both,All,0.015,0.5275256561612738
335561,s1_2,WM,0.02,0.5822612248803174
335561,s1_3,WM,0.02,0.4652964140032725
335561,both,WM,0.02,0.5696932324722823
335561,s1_2,GM,0.02,0.564144347504726
335561,s1_3,GM,0.02,0.6026356326668637
335561,both,GM,0.02,0.5870752002391529
335561,s1_2,Other,0.02,1.1783649561515834
335561,s1_3,Other,0.02,1.5425696086844043
335561,both,Other,0.02,0.4752342837939794
335561,s1_2,All,0.02,0.7810462213942266
