Subject,Region,Method,Tissue Label,RMSE
335293,0.0,s1_2,Other,0.23977264740141077
335293,0.0,s1_3,Other,0.279145385239799
335293,0.0,both,Other,0.24522769991490034
335293,0.0,lut,Other,0.2288600948291263
335293,4.0,s1_2,GM,0.8608999055135329
335293,4.0,s1_3,GM,1.2981603617159914
335293,4.0,both,GM,1.0414481213393252
335293,4.0,lut,GM,0.5771493822892058
335293,36.0,s1_2,GM,0.22063119681882287
335293,36.0,s1_3,GM,0.14891401130382764
335293,36.0,both,GM,0.1485691852147554
335293,36.0,lut,GM,0.19168146406117492
335293,37.0,s1_2,GM,0.22165521899580037
335293,37.0,s1_3,GM,0.1453982782515321
335293,37.0,both,GM,0.14131417392344345
335293,37.0,lut,GM,0.18984672597674576
335293,44.0,s1_2,WM,0.3822205790578174
335293,44.0,s1_3,WM,0.35625672156575044
335293,44.0,both,WM,0.3416493464849461
335293,44.0,lut,WM,0.35864804606489126
335293,45.0,s1_2,WM,0.4802060626990685
335293,45.0,s1_3,WM,0.45988725341509035
335293,45.0,both,WM,0.45343141202361803
335293,45.0,lut,WM,0.45054680332413083
335293,51.0,s1_2,Other,1.1151958460193259
335293,51.0,s1_3,Other,1.4076365646090137
335293,51.0,both,Other,1.3594995653902213
335293,51.0,lut,Other,0.959927083083896
335293,52.0,s1_2,Other,1.121445185506387
335293,52.0,s1_3,Other,1.4375543209107648
335293,52.0,both,Other,1.3699890171434577
335293,52.0,lut,Other,0.9265700450822559
335293,57.0,s1_2,GM,0.12996828084919293
335293,57.0,s1_3,GM,0.09739615806920357
335293,57.0,both,GM,0.09121148818560997
335293,57.0,lut,GM,0.10518780321069676
335293,58.0,s1_2,GM,0.1466257316416967
335293,58.0,s1_3,GM,0.1001433663574486
335293,58.0,both,GM,0.08798647630787569
335293,58.0,lut,GM,0.12136922214164024
335293,59.0,s1_2,GM,0.3226509170576294
335293,59.0,s1_3,GM,0.3065536371182359
335293,59.0,both,GM,0.2797195957854087
335293,59.0,lut,GM,0.2918961064317338
335293,60.0,s1_2,GM,0.3478956811993179
335293,60.0,s1_3,GM,0.33546916219335277
335293,60.0,both,GM,0.3062125560199254
335293,60.0,lut,GM,0.31897050580447345
335293,100.0,s1_2,GM,0.2558617865813566
335293,100.0,s1_3,GM,0.3970097237326575
335293,100.0,both,GM,0.33577277874399575
335293,100.0,lut,GM,0.23667964389609142
335293,101.0,s1_2,GM,0.24268020726965642
335293,101.0,s1_3,GM,0.39083813092673875
335293,101.0,both,GM,0.3352881121488439
335293,101.0,lut,GM,0.2220277992931949
335293,102.0,s1_2,GM,0.18586693314327243
335293,102.0,s1_3,GM,0.31891343926822835
335293,102.0,both,GM,0.276794473185466
335293,102.0,lut,GM,0.1631170111710471
335293,103.0,s1_2,GM,0.3697677289157147
335293,103.0,s1_3,GM,0.5955741536681913
335293,103.0,both,GM,0.5191720750906607
335293,103.0,lut,GM,0.32157633088502297
335293,106.0,s1_2,GM,0.3061575427318791
335293,106.0,s1_3,GM,0.3637282158855976
335293,106.0,both,GM,0.32295701391192777
335293,106.0,lut,GM,0.2757570307333244
335293,107.0,s1_2,GM,0.3398066831952353
335293,107.0,s1_3,GM,0.4615790543459356
335293,107.0,both,GM,0.4023060480646646
335293,107.0,lut,GM,0.30903144058520626
335293,108.0,s1_2,GM,0.1611541971791435
335293,108.0,s1_3,GM,0.28879098746847237
335293,108.0,both,GM,0.26969224685201565
335293,108.0,lut,GM,0.18819804964524212
335293,109.0,s1_2,GM,0.4999350859516093
335293,109.0,s1_3,GM,0.7175767534968354
335293,109.0,both,GM,0.6090221527634572
335293,109.0,lut,GM,0.44197678414029523
335293,112.0,s1_2,GM,0.2921529876891366
335293,112.0,s1_3,GM,0.45562849378455395
335293,112.0,both,GM,0.40219935137945384
335293,112.0,lut,GM,0.259041883581463
335293,113.0,s1_2,GM,0.21844351752328134
335293,113.0,s1_3,GM,0.34173170167144024
335293,113.0,both,GM,0.2876276746273356
335293,113.0,lut,GM,0.19805562764111811
335293,114.0,s1_2,GM,0.3982752524486554
335293,114.0,s1_3,GM,0.5931787106022589
335293,114.0,both,GM,0.4971381857988509
335293,114.0,lut,GM,0.34689763781849603
335293,115.0,s1_2,GM,0.5343883458282924
335293,115.0,s1_3,GM,0.6105711091150422
335293,115.0,both,GM,0.5561284925649418
335293,115.0,lut,GM,0.5045523808391106
335293,118.0,s1_2,GM,0.34584270449869625
335293,118.0,s1_3,GM,0.5877045094998314
335293,118.0,both,GM,0.5263837264464684
335293,118.0,lut,GM,0.32532467551882915
335293,119.0,s1_2,GM,0.2488702064053161
335293,119.0,s1_3,GM,0.3951847714781528
335293,119.0,both,GM,0.3395745693123521
